floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,min_h_rule,LD_ratio,ddm_eligible
flat_plate,16.0,16.0,12.007874015748031,40.0,MDDM,5.0,61.9077275713434,5.0,67.9941637168513,162.28927308561208,0.9759952036262891,true,169.52914406654776,false,0,0,0,0.10319125952150585,true,0.05507145083824898,0.5336832895888015,18.0,20.0,0.019506172839506175,18.63,26.86,45.489999999999995,true,0,0.286,0.0,0.0,0.0,nomin,0.43478260869565216,true
flat_plate,16.0,16.0,12.007874015748031,40.0,DDM (Full),5.0,61.9077275713434,5.0,67.9941637168513,162.28927308561208,0.9759952036262891,true,169.52914406654776,false,0,0,0,0.10319125952150585,true,0.05507145083824898,0.5336832895888015,18.0,20.0,0.019506172839506175,7.0,26.86,33.85999999999999,true,0,0.141,0.0,0.0,0.0,nomin,0.43478260869565216,true
flat_plate,16.0,16.0,12.007874015748031,40.0,EFM (HC),5.0,61.9077275713434,5.0,68.19011110230237,162.28927308561208,0.9515676367415563,true,165.28610630344133,false,0,0,0,0.10319125952150585,true,0.05507145083824898,0.5336832895888015,18.0,20.0,0.019506172839506175,8.8,26.86,35.660000000000004,true,0,0.392,0.0,0.0,0.0,nomin,0.43478260869565216,true
flat_plate,16.0,16.0,12.007874015748031,40.0,EFM (ASAP),5.0,61.9077275713434,5.0,68.38634042484038,162.28927308561208,0.9934785936051385,true,180.47173661684943,false,0,0,0,0.10319125952150585,true,0.05507145083824898,0.5336832895888015,18.0,18.0,0.019506172839506175,9.000000000000002,26.86,35.86,true,0,0.301,0.0,0.0,0.0,nomin,0.43478260869565216,true
flat_plate,16.0,16.0,12.007874015748031,40.0,FEA,5.0,61.9077275713434,5.0,67.21319354591705,162.28927308561208,0.9276072001646968,true,161.75822868633063,false,0,0,0,0.1648225385826045,true,0.08796303458914154,0.5336832895888015,18.0,23.999999999999996,0.019506172839506175,6.8,14.629999999999999,21.43,true,0,6.585,0.0,0.0,0.0,nomin,0.43478260869565216,true
flat_plate,16.0,16.0,12.007874015748031,80.0,MDDM,5.0,61.9077275713434,5.0,89.42631659110758,226.28927308561205,0.9813485700525586,true,160.57355138956964,false,0,0,0,0.20638251904301172,true,0.11014290167649797,0.5336832895888015,20.0,27.999999999999993,0.019506172839506175,8.6,26.86,35.46,false,0,1.046,0.0,0.0,0.0,nomin,0.8695652173913043,true
flat_plate,16.0,16.0,12.007874015748031,80.0,DDM (Full),5.0,61.9077275713434,5.0,89.42631659110758,226.28927308561205,0.9813485700525586,true,160.57355138956964,false,0,0,0,0.20638251904301172,true,0.11014290167649797,0.5336832895888015,20.0,27.999999999999993,0.019506172839506175,9.4,14.629999999999999,24.029999999999998,true,0,0.448,0.0,0.0,0.0,nomin,0.8695652173913043,true
flat_plate,16.0,16.0,12.007874015748031,80.0,EFM (HC),5.0,61.9077275713434,5.0,89.42631659110758,226.28927308561205,0.9767490736789588,true,156.12053423595276,false,0,0,0,0.20638251904301172,true,0.11014290167649797,0.5336832895888015,18.0,29.999999999999993,0.019506172839506175,12.600000000000001,2.6,15.2,true,0,0.514,0.0,0.0,0.0,nomin,0.8695652173913043,true
flat_plate,16.0,16.0,12.007874015748031,80.0,EFM (ASAP),5.0,61.9077275713434,5.0,89.42631659110758,226.28927308561205,0.9680594411474717,true,156.796896667245,false,0,0,0,0.20638251904301166,true,0.11014290167649794,0.5336832895888015,18.0,29.999999999999993,0.019506172839506175,12.2,2.6,14.8,true,0,0.435,0.0,0.0,0.0,nomin,0.8695652173913043,true
flat_plate,16.0,16.0,12.007874015748031,80.0,FEA,5.0,61.9077275713434,5.0,87.84242237007501,226.28927308561205,0.976735933485424,true,169.65780791503502,false,0,0,0,0.8864843102059882,true,0.4731018628395913,0.5336832895888015,18.0,31.99999999999999,0.019506172839506175,8.799999999999999,15.03,23.83,true,0,12.972,0.0,0.0,0.0,nomin,0.8695652173913043,true
flat_plate,16.0,16.0,12.007874015748031,125.0,MDDM,5.0,61.9077275713434,5.0,104.97169790211196,298.2892730856121,0.9970316545792156,true,140.15176283515916,false,0,0,0,0.3224726860047058,true,0.17209828386952808,0.5336832895888015,25.999999999999996,35.999999999999986,0.019506172839506175,10.399999999999999,14.629999999999999,25.03,false,0,0.767,0.0,0.0,0.0,nomin,1.358695652173913,true
flat_plate,16.0,16.0,12.007874015748031,125.0,DDM (Full),5.0,61.9077275713434,5.0,104.97169790211196,298.2892730856121,0.9970316545792156,true,140.15176283515916,false,0,0,0,0.3224726860047058,true,0.17209828386952808,0.5336832895888015,25.999999999999996,35.999999999999986,0.019506172839506175,11.2,2.6,13.799999999999999,true,0,0.83,0.0,0.0,0.0,nomin,1.358695652173913,true
flat_plate,16.0,16.0,12.007874015748031,125.0,EFM (HC),5.0,61.9077275713434,5.0,104.64211867338757,298.2892730856121,0.9970423794829889,true,151.92224906905997,true,2,4,3,0.3224726860047058,true,0.17209828386952808,0.5336832895888015,18.0,35.999999999999986,0.019506172839506175,17.200000000000003,3.4,20.6,true,0,0.779,0.0,0.0,0.0,nomin,1.358695652173913,true
flat_plate,16.0,16.0,12.007874015748031,125.0,EFM (ASAP),5.0,61.9077275713434,5.0,104.31305764778983,298.2892730856121,0.9998391950006387,true,148.92413925248073,true,2,4,3,0.3224726860047059,true,0.17209828386952813,0.5336832895888015,18.0,35.999999999999986,0.019506172839506175,17.200000000000003,3.4,20.6,true,0,0.87,0.0,0.0,0.0,nomin,1.358695652173913,true
