floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,h_min_in,h_over_h_min,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,pattern_loading,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,failures,fdn_n_sized,fdn_n_groups,fdn_max_B_ft,fdn_max_L_ft,fdn_max_D_in,fdn_max_util,fdn_conc_vol_ft3,fdn_steel_vol_in3,fdn_ok,converged,failure_reason,failing_check,min_h_rule,LD_ratio,ddm_eligible
flat_plate,16.0,16.0,12.007874015748031,50.0,MDDM,4.5,5.0,0.9,55.71695481420906,4.5,63.237206728085624,170.8603457770509,0.8173330852964856,true,118.52159588913369,false,0,0,0,0.176939745407246,true,0.09442978538794408,0.5336832895888015,24.5,33.5,0.0496,7.0,2.4,9.4,true,0,false,0.333,0.0,0.0,0.0,,16,3,3.25,3.25,12.0,0.945,117.2,1535.8,true,true,,,nomin,0.5434782608695652,true
flat_plate,16.0,16.0,12.007874015748031,50.0,DDM (Full),4.5,5.0,0.9,55.71695481420906,4.5,63.237206728085624,170.8603457770509,0.8173330852964856,true,118.52159588913369,false,0,0,0,0.17693974540724594,true,0.09442978538794405,0.5336832895888015,24.5,33.5,0.0616,7.799999999999999,2.4,10.2,true,0,false,0.428,0.0,0.0,0.0,,16,3,3.25,3.25,12.0,0.945,117.2,1535.8,true,true,,,nomin,0.5434782608695652,true
flat_plate,16.0,16.0,12.007874015748031,50.0,EFM (HC),5.5,5.0,1.1,68.09850032847775,5.5,70.37812390999412,185.71820039417332,0.6000066454839249,true,95.97388892892333,false,0,0,0,0.09691140075272907,true,0.0517199951523751,0.5336832895888015,14.0,34.0,0.061111111111111116,8.600000000000001,2.4,11.0,true,0,false,0.419,0.0,0.0,0.0,,16,3,3.5,3.5,12.0,0.886,124.0,1592.6,true,true,,,nomin,0.5434782608695652,true
flat_plate,16.0,16.0,12.007874015748031,50.0,EFM (ASAP),5.5,5.0,1.1,68.09850032847775,5.5,70.43141007453185,185.71820039417332,0.6000066454839249,true,95.97388892892333,false,0,0,0,0.09691140075272896,true,0.05171999515237505,0.5336832895888015,14.0,33.5,0.061111111111111116,8.600000000000001,2.4,11.0,true,0,false,0.497,0.0,0.0,0.0,,16,3,3.5,3.5,12.0,0.886,124.0,1592.6,true,true,,,nomin,0.5434782608695652,true
flat_plate,16.0,16.0,12.007874015748031,50.0,FEA,4.5,5.07,0.887,55.71695481420906,4.5,66.62364476368174,170.8603457770509,0.9971789124531824,true,174.23091506351608,false,0,0,0,0.7612055219055112,true,0.4062426669836937,0.5336832895888015,14.0,35.5,0.062,7.3999999999999995,2.6,10.0,true,0,false,14.739,0.0,0.0,0.0,,16,3,3.25,3.25,12.0,0.946,117.2,1535.8,true,true,,,nomin,0.5434782608695652,true
flat_plate,16.0,16.0,12.007874015748031,150.0,MDDM,5.999999999999999,5.0,1.2,74.2892730856121,5.999999999999999,127.66772538703138,353.1471277027344,0.9930909742787465,true,169.8284273399998,false,0,0,0,0.2239393652810456,true,0.11951269713161666,0.5336832895888015,25.5,36.0,0.0616,10.0,2.4,12.399999999999999,false,0,false,0.331,0.0,0.0,0.0,,16,3,4.75,4.75,12.0,0.977,199.8,2844.0,true,true,,,nomin,1.6304347826086956,true
flat_plate,16.0,16.0,12.007874015748031,150.0,DDM (Full),5.999999999999999,5.0,1.2,74.2892730856121,5.999999999999999,127.66772538703138,353.1471277027344,0.9930909742787465,true,169.8284273399998,false,0,0,0,0.22393936528104566,true,0.11951269713161669,0.5336832895888015,25.5,36.0,0.0616,10.8,2.6,13.4,false,0,false,0.235,0.0,0.0,0.0,,16,3,4.75,4.75,12.0,0.977,199.8,2844.0,true,true,,,nomin,1.6304347826086956,true
flat_plate,16.0,16.0,12.007874015748031,150.0,EFM (HC),7.0,5.0,1.4,86.67081859988077,7.0,138.29707938637023,368.0049823198569,0.7694175024112299,true,143.029619942492,false,0,0,0,0.1410230405268392,true,0.07526164017617842,0.5336832895888015,14.0,34.5,0.061224489795918366,13.200000000000001,2.8000000000000003,16.0,false,0,true,0.284,0.0,0.0,0.0,,16,3,4.75,4.75,12.0,0.953,213.2,2957.8,true,true,,,nomin,1.6304347826086956,true
flat_plate,16.0,16.0,12.007874015748031,150.0,EFM (ASAP),7.0,5.0,1.4,86.67081859988077,7.0,138.4022276444601,368.0049823198569,0.7694175024112299,true,143.029619942492,false,0,0,0,0.1410230405268392,true,0.07526164017617842,0.5336832895888015,14.0,34.5,0.061224489795918366,14.4,3.9999999999999996,18.400000000000002,true,0,true,0.394,0.0,0.0,0.0,,16,3,4.75,4.75,12.0,0.953,213.2,2957.8,true,true,,,nomin,1.6304347826086956,true
flat_plate,16.0,16.0,12.007874015748031,150.0,FEA,6.5,5.01,1.297,80.48004584274643,6.5,137.3138730663902,360.57605501129564,0.9916413326638945,true,188.15071399095802,false,0,0,0,0.6273420222694597,true,0.33480195414205643,0.5336832895888015,14.499999999999998,35.5,0.034444444444444444,9.4,2.9999999999999996,12.400000000000002,true,0,true,17.277,0.0,0.0,0.0,,16,3,4.75,4.75,12.0,0.999,199.8,2844.0,true,true,,,nomin,1.6304347826086956,true
